rider_id,age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,order_date,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,city_name,order_day,order_month,order_day_of_week,is_weekend,pickup_time_minutes,order_time_hour,order_time_of_day,distance,distance_type
INDORES13DEL02 ,37.0,4.9,22.745049,75.892471,22.765049,75.912471,19-03-2022,sunny,high,2,snack,motorcycle,0.0,no,urban,24,INDO,19,3,saturday,1,15.0,11.0,morning,3.0251492856775037,short
BANGRES18DEL02 ,34.0,4.5,12.913041,77.683237,13.043041,77.813237,25-03-2022,stormy,jam,2,snack,scooter,1.0,no,metropolitian,33,BANG,25,3,friday,0,5.0,19.0,evening,20.183529728733618,very_long
BANGRES19DEL01 ,23.0,4.4,12.914264,77.6784,12.924264,77.6884,19-03-2022,sandstorms,low,0,drinks,motorcycle,1.0,no,urban,26,BANG,19,3,saturday,1,15.0,8.0,morning,1.5527578022548725,short
COIMBRES13DEL02 ,38.0,4.7,11.003669,76.976494,11.053669,77.026494,05-04-2022,sunny,medium,0,buffet,motorcycle,1.0,no,metropolitian,21,COIMB,5,4,tuesday,0,10.0,18.0,evening,7.790401360105752,medium
CHENRES12DEL01 ,32.0,4.6,12.972793,80.249982,13.012793,80.289982,26-03-2022,cloudy,high,1,snack,scooter,1.0,no,metropolitian,30,CHEN,26,3,saturday,1,15.0,13.0,afternoon,6.2101379656240985,medium
HYDRES09DEL03 ,22.0,4.8,17.431668,78.408321,17.461668,78.438321,11-03-2022,cloudy,jam,0,buffet,motorcycle,1.0,no,urban,26,HYD,11,3,friday,0,10.0,21.0,night,4.610365144357058,short
RANCHIRES15DEL01 ,33.0,4.7,23.369746,85.33982,23.479746,85.44982,04-03-2022,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,RANCHI,4,3,friday,0,15.0,19.0,evening,16.600361127912656,very_long
MYSRES15DEL02 ,35.0,4.6,12.352058,76.60665,12.482058,76.73665,14-03-2022,cloudy,medium,2,meal,motorcycle,1.0,no,metropolitian,32,MYS,14,3,monday,0,5.0,17.0,afternoon,20.20525323529291,very_long
HYDRES05DEL02 ,22.0,4.8,17.433809,78.386744,17.563809,78.516744,20-03-2022,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,34,HYD,20,3,sunday,1,10.0,20.0,evening,19.975520086221444,very_long
DEHRES17DEL01 ,36.0,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,fog,jam,2,snack,motorcycle,3.0,no,metropolitian,46,DEH,12,2,saturday,1,15.0,21.0,night,10.280582064621875,long
KOCRES16DEL01 ,21.0,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,KOC,13,2,sunday,1,10.0,14.0,afternoon,6.242318682701243,medium
PUNERES13DEL03 ,23.0,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,PUNE,4,3,friday,0,10.0,17.0,afternoon,13.787860239172547,long
LUDHRES15DEL02 ,34.0,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,LUDH,13,2,sunday,1,10.0,9.0,morning,2.9302578007621216,short
KNPRES14DEL02 ,24.0,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,KNP,14,2,monday,0,15.0,19.0,evening,19.39661829066159,very_long
MUMRES15DEL03 ,29.0,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,MUM,2,4,saturday,1,10.0,20.0,evening,13.763977224427641,long
MYSRES01DEL01 ,35.0,4.0,12.311072,76.654878,12.351072,76.694878,01-03-2022,windy,high,1,meal,scooter,1.0,no,metropolitian,33,MYS,1,3,tuesday,0,15.0,14.0,afternoon,6.21800119018663,medium
PUNERES20DEL01 ,33.0,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,PUNE,16,3,wednesday,0,10.0,20.0,evening,16.849939918016492,very_long
HYDRES14DEL01 ,34.0,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,cloudy,jam,0,snack,motorcycle,,no,metropolitian,41,HYD,20,3,sunday,1,10.0,20.0,evening,10.757108800258132,long
KOLRES15DEL03 ,21.0,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,windy,jam,0,meal,motorcycle,1.0,no,urban,15,KOL,15,2,tuesday,0,15.0,21.0,night,4.5405743887312955,short
PUNERES19DEL02 ,25.0,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,PUNE,16,3,wednesday,0,5.0,20.0,evening,12.256076445468295,long
RANCHIRES06DEL02 ,31.0,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,RANCHI,10,3,thursday,0,15.0,22.0,night,19.618739348801018,very_long
COIMBRES13DEL01 ,37.0,5.0,11.003669,76.976494,11.013669,76.986494,11-03-2022,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,20,COIMB,11,3,friday,0,15.0,8.0,morning,1.5581322655568652,short
CHENRES19DEL02 ,33.0,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,windy,jam,2,meal,scooter,1.0,no,metropolitian,39,CHEN,27,3,sunday,1,15.0,19.0,evening,20.180635114114718,very_long
MUMRES02DEL01 ,25.0,4.0,19.221315,72.862381,19.261315,72.902381,26-03-2022,cloudy,high,1,buffet,motorcycle,1.0,no,metropolitian,34,MUM,26,3,saturday,1,5.0,12.0,morning,6.116971669682334,medium
CHENRES01DEL01 ,29.0,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,sunny,medium,2,meal,electric_scooter,1.0,no,metropolitian,15,CHEN,27,3,sunday,1,15.0,18.0,evening,17.07559440107296,very_long
JAPRES16DEL03 ,27.0,5.0,26.849596,75.800512,26.879596,75.830512,05-04-2022,stormy,jam,0,snack,motorcycle,0.0,no,urban,18,JAP,5,4,tuesday,0,5.0,20.0,evening,4.470286489434607,short
SURRES15DEL03 ,35.0,4.3,21.160522,72.771477,21.250522,72.861477,12-03-2022,cloudy,low,1,drinks,scooter,0.0,no,metropolitian,38,SUR,12,3,saturday,1,10.0,23.0,night,13.68204452608078,long
BANGRES09DEL03 ,32.0,4.0,12.934179,77.615797,13.024179,77.705797,16-03-2022,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,47,BANG,16,3,wednesday,0,15.0,21.0,night,13.973182653917394,long
PUNERES04DEL01 ,23.0,4.8,18.51421,73.838429,18.62421,73.948429,02-04-2022,windy,low,2,buffet,electric_scooter,0.0,no,urban,12,PUNE,2,4,saturday,1,10.0,23.0,night,16.85361872985359,very_long
COIMBRES02DEL03 ,31.0,4.8,11.022477,76.995667,11.052477,77.025667,01-04-2022,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,26,COIMB,1,4,friday,0,15.0,22.0,night,4.674172124263269,short
SURRES16DEL02 ,36.0,4.1,21.160437,72.774209,21.210437,72.824209,05-03-2022,stormy,low,0,drinks,motorcycle,1.0,no,urban,22,SUR,5,3,saturday,1,5.0,22.0,night,7.60161677107109,medium
GOARES15DEL02 ,26.0,4.3,15.51315,73.78346,15.56315,73.83346,11-02-2022,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,21,GOA,11,2,friday,0,10.0,23.0,night,7.720324413179964,medium
GOARES07DEL01 ,38.0,4.9,15.561295,73.749478,15.601295,73.789478,11-02-2022,cloudy,high,1,drinks,scooter,1.0,no,urban,25,GOA,11,2,friday,0,5.0,13.0,afternoon,6.1756362610169315,medium
RANCHIRES02DEL01 ,32.0,3.5,,,,,08-03-2022,stormy,jam,1,snack,scooter,0.0,no,urban,35,RANCHI,8,3,tuesday,0,10.0,21.0,night,,
PUNERES19DEL02 ,32.0,4.6,18.563934,73.915367,18.693935,74.045367,02-04-2022,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,30,PUNE,2,4,saturday,1,10.0,22.0,night,19.914686965545187,very_long
PUNERES02DEL01 ,33.0,4.9,18.55144,73.804855,18.62144,73.874855,08-03-2022,sunny,medium,1,snack,motorcycle,1.0,no,metropolitian,22,PUNE,8,3,tuesday,0,15.0,18.0,evening,10.724517748046026,long
PUNERES18DEL01 ,20.0,4.7,18.593481,73.785901,18.633481,73.825901,03-04-2022,windy,high,1,snack,scooter,0.0,no,urban,10,PUNE,3,4,sunday,1,10.0,14.0,afternoon,6.127835452844326,medium
SURRES08DEL01 ,20.0,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,19,SUR,30,3,wednesday,0,10.0,11.0,morning,1.5203573134022046,short
HYDRES17DEL02 ,35.0,5.0,17.451976,78.385883,17.471976,78.405883,01-04-2022,sunny,low,2,snack,scooter,1.0,no,urban,11,HYD,1,4,friday,0,10.0,9.0,morning,3.0734537599377685,short
